zip_3,Median,Pop
010,61658.75382903225,7257.177419354839
011,43307.118338461536,12896.461538461539
012,57768.742375,4088.78125
013,54875.479027999994,3123.6
014,82609.85029545454,9266.681818181818
015,78024.80076888889,7647.7555555555555
016,49956.027436363634,15285.818181818182
017,106748.85664814814,13479.407407407407
018,79697.420984375,21476.21875
019,80885.08836206897,16111.172413793103
020,95960.06451923076,14900.884615384615
021,60678.46745384614,23831.634615384617
022,66378.60796666666,7436.666666666667
023,79712.126596,16482.88
024,111195.26779629629,14561.962962962964
025,63477.45222,4254.12
026,61065.93237297299,4178.27027027027
027,66854.64901388889,14262.944444444445
028,69351.21802333333,11143.033333333333
029,51219.45466470588,21766.0
030,82801.53929705883,10516.79411764706
031,61360.65871428572,19544.85714285714
032,59095.09829655172,2926.5172413793102
033,72041.40397500001,14392.5
034,60964.79306399999,3205.68
035,48393.516200000005,2260.05
036,56206.2411125,1610.5
037,61296.23932307692,2807.076923076923
038,62562.561856060616,4470.19696969697
039,61222.20338181818,4268.727272727273
040,55827.40472096774,5016.935483870968
041,62054.424344444444,12021.555555555555
042,44870.80011086957,3662.891304347826
043,52944.529510526314,3597.157894736842
044,40407.93896666667,2534.090909090909
045,50537.0171724138,1657.896551724138
046,40821.972567741934,1167.967741935484
047,35947.802994871796,1905.2564102564102
048,47373.95115555555,2206.222222222222
049,39716.521356923084,2325.846153846154
050,54912.996642222206,1363.4444444444443
051,48556.58679375001,1849.6875
052,54533.80876363636,3038.5454545454545
053,51519.49192105263,1962.0
054,60571.18368085105,4977.31914893617
056,55608.124790625,2666.3125
057,52555.975352631576,2170.7368421052633
058,42114.161748717954,1507.4358974358975
059,28784.364266666667,569.6666666666666
060,78062.36043333334,12286.018518518518
061,57006.39831428572,20955.0
062,65279.92736875,5229.90625
063,70247.97839142857,7550.314285714286
064,83377.29344423076,13692.423076923076
065,64174.775708333334,24152.333333333332
066,61062.66485,23912.1
067,70513.63185405404,8964.324324324325
068,129401.47771923078,17886.26923076923
069,94232.89813333332,20414.333333333332
070,85416.11470379746,20719.506329113923
071,40704.122624999996,32374.833333333332
072,51878.700514285716,25265.0
073,74562.66222857144,34293.57142857143
074,98325.27828611106,12035.555555555555
075,44965.4827,16571.416666666668
076,95310.90107435898,12369.846153846154
077,89166.40609268291,14145.634146341463
078,87922.34573023256,7953.093023255814
079,121521.53180689656,8481.413793103447
080,73019.6758127907,12628.558139534884
081,46167.74283333333,17988.88888888889
082,63670.284948148146,8785.481481481482
083,56917.716552000005,7971.24
084,61476.028225,15694.5
085,104458.35872333331,9048.466666666667
086,64408.68376000001,16754.8
087,70401.76126,16584.48
088,90343.12667037036,15366.037037037036
089,66488.84563333333,33082.666666666664
100,74696.82723095236,33717.97619047619
101,84605.39697142856,8744.57142857143
102,101671.41775,2150.0
103,69452.57915833335,36119.416666666664
104,34690.56375200001,51807.28
105,116518.68116065572,10263.83606557377
106,84190.12558333333,12583.166666666666
107,82079.5562,23764.444444444445
108,96219.91222500001,18550.75
109,84484.20719824558,8499.61403508772
110,100342.58819999998,17210.428571428572
111,58306.30204285714,30969.428571428572
112,46258.984067567566,65833.43243243243
113,59658.4931625,46351.833333333336
114,60110.45426,27954.88
115,104964.42130256411,18328.20512820513
116,58070.469719999994,20896.0
117,96822.76995714285,19753.20779220779
118,103880.46693333333,24018.0
119,78134.57847209302,5271.2558139534885
120,59210.39682461538,4631.369230769231
121,59058.45205588236,3860.3088235294117
122,48207.56160909092,13494.363636363636
123,53236.81325000001,19327.375
124,51119.83378170732,1876.5
125,68574.10443064515,6763.387096774193
126,68368.68506666667,27610.666666666668
127,49586.257451724116,1579.0862068965516
128,49180.99591774193,3422.1612903225805
129,45815.14384857143,2187.4142857142856
130,56822.016051999984,7530.1
131,54149.216924999986,3720.9166666666665
132,42270.366746666674,15393.533333333333
133,46476.124712962956,2496.574074074074
134,44931.37489310345,3125.9827586206898
135,37140.9761,34528.5
136,44358.454579220765,2910.883116883117
137,43255.88188421053,3565.4736842105262
138,44301.48406829267,3245.317073170732
139,49282.63602,16281.6
140,55961.07639649123,7568.6140350877195
141,52851.34982121212,6044.181818181818
142,36862.67278148149,21385.666666666668
143,28428.252599999996,13476.0
144,53850.74882619047,7073.0952380952385
145,54877.43994716982,5541.226415094339
146,41895.26443043478,20800.043478260868
147,42056.31572459016,2887.1475409836066
148,46993.23241216215,3751.2027027027025
149,37338.068025,11153.5
150,53287.453239436625,6382.30985915493
151,48355.04239629628,14290.481481481482
152,48519.0410925,18228.15
153,49190.62877407408,3304.222222222222
154,37236.94286268656,2292.5373134328356
155,41587.548425,2512.277777777778
156,49013.72922285716,4462.271428571428
157,42824.17724666666,1909.7
158,40170.43867586206,3220.3793103448274
159,41987.47884651164,3598.6279069767443
160,50409.18588857144,5031.942857142857
161,44084.54179756099,5646.4390243902435
162,42218.39701315789,2348.2105263157896
163,41084.36529302325,3547.8837209302324
164,46004.81870967741,4241.419354838709
165,41606.68600769231,14361.538461538461
166,41318.801495238105,3333.5873015873017
167,42492.57856956521,2235.478260869565
168,44884.64853018868,3331.7735849056603
169,39671.22405806451,2102.2903225806454
170,52071.311804651166,6526.616279069767
171,44259.64139999999,17305.0
172,48964.63540392157,3546.235294117647
173,61230.2689422222,6657.822222222222
174,54327.826142857135,21632.14285714286
175,57980.583755813954,6808.232558139535
176,55534.937925000006,37648.5
177,41725.58160512821,4331.871794871795
178,43168.88761698115,4221.943396226415
179,46133.690991111114,2828.288888888889
180,67236.38782962965,8774.0
181,46588.39742857143,21757.428571428572
182,45319.4804027027,3423.2972972972975
183,54444.335786486496,4015.4054054054054
184,49430.89831153846,3533.903846153846
185,39929.12753636363,10898.454545454546
186,45822.27088333332,4918.527777777777
187,43024.483125,17103.875
188,43538.14983030303,2356.909090909091
189,87000.56476,9605.085714285715
190,77840.0336164179,16659.02985074627
191,40781.77820000001,32008.574468085106
193,91425.11973437498,11609.8125
194,81987.90766451613,14481.612903225807
195,62503.54666511628,4584.837209302325
196,48835.70303999999,19053.4
197,83496.00248421053,16729.894736842107
198,67395.39538999999,21018.1
199,53884.99853684211,9590.473684210527
200,64541.13466666667,24058.666666666668
201,105312.97147021271,17757.489361702126
203,67370.4,411.0
205,119167.0,8.0
206,88189.86250169492,4589.576271186441
207,79907.07694807692,16925.19230769231
208,119721.63215405404,15964.594594594595
209,78785.6879875,35783.125
210,91267.98847021276,13808.234042553191
211,92683.57484333334,13236.9
212,50024.700315789465,31389.947368421053
214,103652.63152,17097.8
215,42518.669713636365,4590.454545454545
216,57912.80059107143,2554.6785714285716
217,82887.38980576924,7444.307692307692
218,50172.693616216224,4079.0810810810813
219,69009.3951,5367.875
220,112134.0074277778,26587.5
221,112068.27244999999,27334.75
222,109523.20775000002,20805.2
223,91588.69875714285,22647.214285714286
224,55563.57459999999,10930.105263157895
225,53048.53739999999,7223.56
226,63433.48908620691,6306.0
227,62560.3432939394,2331.5454545454545
228,47696.11539642858,5687.178571428572
229,56587.16300789473,6513.368421052632
230,55925.861481250024,4520.229166666667
231,62642.843908510644,7592.425531914893
232,55144.371945,26845.35
233,47220.78259666667,8472.966666666667
234,53268.5117111111,12629.177777777777
235,44381.27697857143,17342.64285714286
236,57480.32591428571,18271.52380952381
237,42661.515783333336,15517.0
238,43916.76897962963,5718.592592592592
239,35522.960945714294,2964.942857142857
240,46482.55540999999,8511.5
241,43058.13087948717,5681.4358974358975
242,32683.675064285722,4602.476190476191
243,37419.248933333336,3937.25641025641
244,44305.054397619046,3232.5714285714284
245,42885.24760545454,6883.054545454545
246,32694.785719230767,2750.230769230769
247,32314.0257875,3825.875
248,27889.197407547173,745.3584905660377
249,35137.622603125,1667.65625
250,36951.682994,1388.56
251,36195.23698846153,1460.4615384615386
252,36565.50646410257,1490.3076923076924
253,44267.407816666666,9710.416666666666
254,53862.28092608696,7738.652173913043
255,37194.76814102564,3626.5897435897436
256,33899.512969999996,1307.275
257,31570.74158,14995.0
258,37739.01141428571,2124.0476190476193
259,33132.012770588226,1377.5
260,38306.06477391305,5772.391304347826
261,37943.408253125,4162.21875
262,32750.166728000004,1699.1
263,34749.05362258064,2891.032258064516
264,35012.77170714286,2071.5
265,40628.96927878788,5351.060606060606
266,35512.78637692308,1226.923076923077
267,36478.23799130434,2418.8260869565215
268,34326.383945454545,1512.8181818181818
270,46349.96570882353,7787.5
271,42327.61096666667,24570.444444444445
272,46718.41933421053,13558.578947368422
273,44311.434534374996,10139.5625
274,47439.419355555554,30271.222222222223
275,53720.619784615395,12283.061538461538
276,63713.91302666667,24056.533333333333
277,51442.03555,26921.75
278,36731.53546052633,6448.881578947368
279,42978.29641636362,2941.5272727272727
280,46802.05090909091,12438.431818181818
281,49064.5889952381,11084.47619047619
282,59070.83878750001,25361.875
283,37563.500109859175,10455.830985915492
284,41543.95217818182,6751.472727272727
285,41747.49880655737,6877.377049180328
286,38115.779523376616,7597.493506493506
287,40505.22011739131,6717.31884057971
288,42059.84420000001,20928.4
289,36291.13303333333,5481.166666666667
290,38250.31986734693,8326.204081632653
291,36957.19587826086,7922.239130434783
292,43242.2572,23019.0
293,39530.63250444444,8543.466666666667
294,45555.07767321429,13006.017857142857
295,34952.526710714286,11211.07142857143
296,44183.38814615386,14691.676923076922
297,44261.39489999999,14373.083333333334
298,37001.83532571429,6125.085714285714
299,41498.84507666666,6881.7
300,64101.972133333315,36131.333333333336
301,54156.42445789473,20739.21052631579
302,53239.8036851852,18537.09259259259
303,56417.35132250002,22397.425
304,33791.41740697674,5012.418604651163
305,44335.520616666654,10384.55
306,40276.94049534885,8922.023255813954
307,40062.887483870974,11671.225806451614
308,39618.56998636363,8381.454545454546
309,41529.615737500004,25274.125
310,37297.800940243906,6568.59756097561
312,38641.99908888889,18432.777777777777
313,48579.31412083333,8193.0
314,45136.54104,22788.6
315,41418.79661363637,7599.068181818182
316,35098.53903999999,6065.8
317,37219.502267346936,7609.775510204082
318,44594.425903703705,3196.925925925926
319,46224.98858571429,26112.14285714286
320,46195.56509111111,12229.177777777777
321,42603.920407142854,13297.952380952382
322,50626.6215142857,25631.628571428573
323,43443.521994117655,11952.470588235294
324,39903.063634090904,7320.159090909091
325,47677.2618375,15680.675
326,40822.275102439016,8589.780487804877
327,54476.47772439025,22894.121951219513
328,54211.247240625,27298.0
329,52767.15485454545,18664.090909090908
330,54062.475418000016,32157.26
331,53577.1942483871,30113.629032258064
333,65730.98475925926,28355.11111111111
334,59699.17537894737,24793.105263157893
335,54495.78306097561,17055.268292682926
336,50805.31756538462,27198.384615384617
337,48113.55355641026,18631.02564102564
338,42387.96670408165,14306.122448979591
339,51279.22826,14668.78
341,62148.86032916666,15532.75
342,54472.904121739135,16318.91304347826
344,38679.69905151514,12766.39393939394
346,50351.633796874994,20263.59375
347,52145.30293225807,19208.1935483871
349,47410.25539090909,20059.090909090908
350,45233.33617368422,7757.7192982456145
351,48796.36379285715,7731.809523809524
352,47610.62063666666,16460.2
354,37305.229640624995,6849.0625
355,35432.25507249999,3952.725
356,44215.245211111105,10509.75
357,49256.495428124996,6931.84375
358,53218.236590909095,17288.909090909092
359,37735.782966666666,7347.74358974359
360,40697.57915454545,5197.054545454545
361,49537.81037692308,16515.615384615383
362,37820.95009642856,6595.857142857143
363,40267.66051470587,6993.117647058823
364,30716.65806875,3362.78125
365,42810.86971016949,6097.016949152542
366,35021.61894210526,14712.894736842105
367,28825.587240476183,2734.7380952380954
368,37383.978988461546,9322.461538461539
369,28371.447538461536,1466.4615384615386
370,51140.20973125,13902.765625
371,48996.18149782609,13213.826086956522
372,45925.37995454546,19436.454545454544
373,40376.26675333333,7424.933333333333
374,34173.36166,13243.866666666667
376,37984.99943125,12627.25
377,36808.51017916665,7140.208333333333
378,36938.76577758621,9027.534482758621
379,48042.38240555555,21743.833333333332
380,45747.847755999996,8389.2
381,44502.261075862065,24912.379310344826
382,37588.134575,4162.214285714285
383,36996.09081186441,4849.35593220339
384,38147.624467647074,5146.970588235294
385,34624.34028444444,5125.288888888889
386,35623.33272222223,6213.277777777777
387,26786.485670000002,3567.975
388,37194.197544999995,6188.875
389,28042.92444473684,3146.2105263157896
390,35255.65997428571,7253.685714285714
391,35968.51105853658,6745.0
392,36924.70366000001,15695.266666666666
393,31752.676989189185,5462.540540540541
394,36669.26853888889,9351.222222222223
395,44638.71052307692,14303.115384615385
396,32119.71402692308,5042.346153846154
397,34270.64179,5713.666666666667
398,30712.665513333333,3628.9
400,56210.40937346938,5028.551020408163
401,42016.94853870968,4612.612903225807
402,48466.34837499999,23008.875
403,41782.12304864865,8509.243243243243
404,33016.76793999999,7350.88
405,54747.05697333334,19797.666666666668
406,43283.434049999996,25014.0
407,32234.860766666665,8871.583333333334
408,26294.612205882353,996.7647058823529
409,22855.663986206895,2396.2758620689656
410,48509.28546,8950.09090909091
411,32819.20936538461,5106.807692307692
412,28313.690872413783,1721.0689655172414
413,22431.152726666664,2329.9333333333334
414,25592.127300000004,4229.833333333333
415,31765.176455263158,1794.0263157894738
416,27655.408524242423,1213.6969696969697
417,30796.594865625,1271.21875
418,30119.354718181818,940.1818181818181
420,39085.078679591825,4516.3877551020405
421,40608.559539285714,7696.678571428572
422,39483.19430689655,5128.482758620689
423,39350.94351250002,4258.475
424,42793.59913333333,5045.7037037037035
425,29229.38230714286,5604.714285714285
426,27437.589233333336,5498.083333333333
427,36908.94822424243,5448.121212121212
430,63550.922487931035,10723.5
431,51883.68653111111,7641.044444444445
432,43450.13815172413,25710.58620689655
433,47690.85982777777,4772.75
434,55624.94173902439,3995.1463414634145
435,54910.05999599999,5635.12
436,40355.21153529412,21505.764705882353
437,41417.11192363635,3456.7818181818184
438,44360.46451764706,3690.0
439,39499.67491090909,3413.690909090909
440,57916.43200178572,14773.732142857143
441,47740.20947916667,27635.416666666668
442,60807.867699999995,11954.522727272728
443,38433.786411764704,16795.647058823528
444,45681.54340400002,7283.04
445,30248.905441666662,15016.833333333334
446,46971.21163582091,6570.507462686567
447,39941.524278571436,14250.57142857143
448,50533.888163157884,6037.298245614035
449,41056.33992857143,13879.0
450,61344.934578125,15368.125
451,53645.8351361702,6528.0
452,50523.46075555555,18651.8
453,54341.31407012987,6184.168831168831
454,47332.32232857143,18007.64285714286
455,43303.13774,21444.0
456,37261.19774754099,5570.524590163935
457,37450.28655813954,3466.5348837209303
458,52515.36614683544,4672.5822784810125
460,61758.77061590909,11566.227272727272
461,58666.22701694918,8902.35593220339
462,52348.208572972966,24598.594594594593
463,57557.347995454555,15007.931818181818
464,32879.405133333334,15028.555555555555
465,51847.511528260875,10352.260869565218
466,40490.27049,14545.9
467,52297.00282542372,5559.661016949152
468,50680.1742625,19088.0625
469,48429.048208771936,5466.543859649123
470,51469.02591111111,4383.222222222223
471,49731.79024318182,6601.863636363636
472,48963.43441612903,6677.741935483871
473,44992.82531249999,5778.053571428572
474,43935.52300975609,6337.365853658536
475,48388.08110192307,3155.730769230769
476,45277.08083461538,4658.807692307692
477,46171.82207777778,20304.11111111111
478,45807.241854545464,4238.159090909091
479,48460.52380161289,4708.209677419355
480,60987.36189855072,15994.36231884058
481,60987.760164285704,21233.9
482,34485.58163333332,32862.0
